Data Sessão,PL,Autor,Status,Votos,Presentes,Fonte
2025-08-28,253/2025,João Miguel,Aprovado (Votação Simbólica),N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Sandrinho, Vitinho Nogueira",video-NvLFdoGpLKk-ytranscript.txt
2025-09-11,212/2025,Sandrinho,Não identificado,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-11,215/2025,Fidel Faria,Não identificado,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-11,218/2025,Sandrinho,Não identificado,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-11,236/2025,Fidel Faria,Em Discussão,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-11,237/2025,Fidel Faria,Em Discussão,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-11,244/2025,Vitinho Nogueira,Não identificado,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-11,247/2025,Luciano Santos,Em Discussão,N/A,Chamada não identificada,video-3RdIXI6Cc18-ytranscript.txt
2025-09-20,230/2025,André do Gás,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-0XcCRwhO6Lw-ytranscript.txt
2025-09-20,235/2025,Sandrinho,Em Discussão,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-0XcCRwhO6Lw-ytranscript.txt
2025-09-20,248/2025,André do Gás,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-0XcCRwhO6Lw-ytranscript.txt
2025-09-20,252/2025,André do Gás,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Totó, Vitinho Nogueira",video-0XcCRwhO6Lw-ytranscript.txt
