Data Sessão,PL,Autor,Ementa,Status,Votos,Presentes,Fonte,Link YouTube
2025-04-03,046/2025,Luciano Santos,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-_7wAlHRBLSA-ytranscript.txt,https://www.youtube.com/watch?v=_7wAlHRBLSA
2024-12-27,048/2021,André do Gás,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-JHlCDk5N6Tc-ytranscript.txt,https://www.youtube.com/watch?v=JHlCDk5N6Tc
2025-04-03,049/2025,Calé,Dispõe sobre c,Aprovado (Votação Simbólica),N/A,"Amanda, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-_7wAlHRBLSA-ytranscript.txt,https://www.youtube.com/watch?v=_7wAlHRBLSA
2025-03-08,05/2025,Vitin Nogueira,Dispõe sobre d,Não identificado,N/A,"Amanda, André do Gás, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-KOFfnMQI7aA-ytranscript.txt,https://www.youtube.com/watch?v=KOFfnMQI7aA
2025-04-14,05/2025,Paulinho Nogueira,Dispõe sobre a,Não identificado,N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-04-14,053/2025,Diego Barbosa,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
2025-04-30,053/2025,Luciano Santos,Dispõe sobre a,Não identificado,N/A,"Amanda, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-lRcIU8VZdIM-ytranscript.txt,https://www.youtube.com/watch?v=lRcIU8VZdIM
2025-05-29,054/2025,Dudu do Resgate,Dispõe sobre a,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Caio Perfister, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim",video-NERWij9Cmqg-ytranscript.txt,https://www.youtube.com/watch?v=NERWij9Cmqg
2025-06-12,054/2025,Dudu do Resgate,Dispõe sobre a,Não identificado,N/A,"Amanda, André do Gás, Bruninho Almeida, Cacau Repórter, Calé, Dudu do Resgate, Diego Barbosa, Fabinho Filé, Fidel Faria, Igor Faraco, João Miguel, Luciano Santos, Márcia Valentim, Marcos Rangel, Maurício Lopes, Paulinho Nogueira, Amurim, Érica Marra",video-9WnNBpuIIa0-ytranscript.txt,https://www.youtube.com/watch?v=9WnNBpuIIa0
2025-04-14,055/2025,Luciano Santos,Dispõe sobre a,Aprovado (Votação Simbólica),N/A,Chamada não identificada,video-Xx4rK1E4rqI-ytranscript.txt,https://www.youtube.com/watch?v=Xx4rK1E4rqI
